Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,201,11,6,150,14.22,0.000%,.96967,0.12,1.27,130.0
TOTAL,201,11,6,150,14.22,0.000%,.96967,0.12,1.27,130.0
