Statistical profiling result from isolate-0x105801400-v8.log, (1072 ticks, 104 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.1%    0.1%  Function: ~SyncWriteStream._write internal/fs.js:73:44
      1    0.1%    0.1%  Function: ~NativeModule.compile bootstrap_node.js:584:44
      1    0.1%    0.1%  Function: ~Buffer.from buffer.js:175:23
      1    0.1%    0.1%  Function: ~<anonymous> /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/winston/lib/winston/logger.js:234:46
      1    0.1%    0.1%  Builtin: ToObject {1}
      1    0.1%    0.1%  Builtin: StringPrototypeCharCodeAt
      1    0.1%    0.1%  Builtin: ResolvePromise
      1    0.1%    0.1%  Builtin: RegExpReplace
      1    0.1%    0.1%  Builtin: LoadIC_Noninlined
      1    0.1%    0.1%  Builtin: LoadICProtoArray
      1    0.1%    0.1%  Builtin: KeyedStoreIC_Megamorphic
      1    0.1%    0.1%  Builtin: GreaterThan
      1    0.1%    0.1%  Builtin: FunctionPrototypeHasInstance
      1    0.1%    0.1%  Builtin: FastNewObject
      1    0.1%    0.1%  Builtin: CallFunction_ReceiverIsNullOrUndefined
      1    0.1%    0.1%  Builtin: AsyncFunctionAwaitResolveClosure

 [C++]:
   ticks  total  nonlib   name
    476   44.4%   45.2%  T ___guarded_open_dprotected_np
     62    5.8%    5.9%  t node::(anonymous namespace)::ContextifyScript::New(v8::FunctionCallbackInfo<v8::Value> const&)
     14    1.3%    1.3%  t ___vfprintf
     13    1.2%    1.2%  t node::WriteBuffer(v8::FunctionCallbackInfo<v8::Value> const&)
      8    0.7%    0.8%  t void node::Buffer::(anonymous namespace)::StringWrite<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&)
      8    0.7%    0.8%  t node::Buffer::(anonymous namespace)::ByteLengthUtf8(v8::FunctionCallbackInfo<v8::Value> const&)
      7    0.7%    0.7%  t __os_unfair_lock_unlock_slow
      5    0.5%    0.5%  t int v8::internal::BinarySearch<(v8::internal::SearchMode)0, v8::internal::TransitionArray>(v8::internal::TransitionArray*, v8::internal::Name*, int, int*)
      4    0.4%    0.4%  t v8::internal::Heap::AllocateRaw(int, v8::internal::AllocationSpace, v8::internal::AllocationAlignment)
      4    0.4%    0.4%  t node::Binding(v8::FunctionCallbackInfo<v8::Value> const&)
      4    0.4%    0.4%  T v8::internal::Log::MessageBuilder::WriteToLogFile()
      4    0.4%    0.4%  T _mach_msg_server_once
      4    0.4%    0.4%  T _kpersona_get
      3    0.3%    0.3%  t v8::internal::Scavenger::ScavengeObject(v8::internal::HeapObject**, v8::internal::HeapObject*)
      3    0.3%    0.3%  t _szone_malloc_should_clear
      3    0.3%    0.3%  t ___find_warguments
      3    0.3%    0.3%  T v8::internal::JsonStringifier::SerializeString(v8::internal::Handle<v8::internal::String>)
      3    0.3%    0.3%  T v8::internal::FunctionCallbackArguments::Call(void (*)(v8::FunctionCallbackInfo<v8::Value> const&))
      3    0.3%    0.3%  T _fputws_l
      2    0.2%    0.2%  t void v8::internal::String::WriteToFlat<unsigned char>(v8::internal::String*, unsigned char*, int, int)
      2    0.2%    0.2%  t void std::__1::__sort<v8::internal::MarkCompactCollector::CollectEvacuationCandidates(v8::internal::PagedSpace*)::$_4&, std::__1::pair<unsigned long, v8::internal::Page*>*>(std::__1::pair<unsigned long, v8::internal::Page*>*, std::__1::pair<unsigned long, v8::internal::Page*>*, v8::internal::MarkCompactCollector::CollectEvacuationCandidates(v8::internal::PagedSpace*)::$_4&)
      2    0.2%    0.2%  t v8::internal::Worklist<std::__1::pair<v8::internal::HeapObject*, int>, 64>::Pop(int, std::__1::pair<v8::internal::HeapObject*, int>*)
      2    0.2%    0.2%  t v8::internal::LookupIterator::State v8::internal::LookupIterator::LookupInRegularHolder<false>(v8::internal::Map*, v8::internal::JSReceiver*)
      2    0.2%    0.2%  t v8::internal::JsonStringifier::Result v8::internal::JsonStringifier::Serialize_<true>(v8::internal::Handle<v8::internal::Object>, bool, v8::internal::Handle<v8::internal::Object>)
      2    0.2%    0.2%  t v8::internal::JsonStringifier::Result v8::internal::JsonStringifier::Serialize_<false>(v8::internal::Handle<v8::internal::Object>, bool, v8::internal::Handle<v8::internal::Object>)
      2    0.2%    0.2%  t v8::internal::HeapObject::SizeFromMap(v8::internal::Map*) const
      2    0.2%    0.2%  t v8::internal::Builtin_Impl_HandleApiCall(v8::internal::BuiltinArguments, v8::internal::Isolate*)
      2    0.2%    0.2%  t node::cares_wrap::(anonymous namespace)::ChannelWrap::New(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.2%    0.2%  t node::Read(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.2%    0.2%  t node::DLOpen(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.2%    0.2%  t node::(anonymous namespace)::ContextifyScript::RunInThisContext(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.2%    0.2%  t int v8::internal::BinarySearch<(v8::internal::SearchMode)1, v8::internal::DescriptorArray>(v8::internal::DescriptorArray*, v8::internal::Name*, int, int*)
      2    0.2%    0.2%  t __malloc_initialize
      2    0.2%    0.2%  T v8::internal::Zone::Zone(v8::internal::AccountingAllocator*, char const*)
      2    0.2%    0.2%  T v8::internal::String::CalculateLineEnds(v8::internal::Handle<v8::internal::String>, bool)
      2    0.2%    0.2%  T v8::internal::Scanner::ScanIdentifierOrKeyword()
      2    0.2%    0.2%  T v8::internal::Object::AddDataProperty(v8::internal::LookupIterator*, v8::internal::Handle<v8::internal::Object>, v8::internal::PropertyAttributes, v8::internal::Object::ShouldThrow, v8::internal::Object::StoreFromKeyed)
      2    0.2%    0.2%  T v8::internal::JsonParser<true>::ParseJsonValue()
      2    0.2%    0.2%  T v8::internal::IncrementalMarking::WhiteToGreyAndPush(v8::internal::HeapObject*)
      2    0.2%    0.2%  T v8::internal::IncrementalMarking::Step(unsigned long, v8::internal::IncrementalMarking::CompletionAction, v8::internal::IncrementalMarking::ForceCompletionAction, v8::internal::StepOrigin)
      2    0.2%    0.2%  T v8::internal::Factory::NewConsString(v8::internal::Handle<v8::internal::String>, v8::internal::Handle<v8::internal::String>)
      2    0.2%    0.2%  T node::TTYWrap::New(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.2%    0.2%  T __kernelrpc_vm_remap
      1    0.1%    0.1%  t void v8::internal::String::WriteToFlat<unsigned short>(v8::internal::String*, unsigned short*, int, int)
      1    0.1%    0.1%  t void v8::internal::BodyDescriptorApply<v8::internal::CallIterateBody, void, v8::internal::HeapObject*, int, v8::internal::ObjectVisitor*>(v8::internal::InstanceType, v8::internal::HeapObject*, int, v8::internal::ObjectVisitor*)
      1    0.1%    0.1%  t void std::__1::__sort<v8::internal::EnumIndexComparator<v8::internal::NameDictionary>&, v8::base::AtomicElement<v8::internal::Smi*>*>(v8::base::AtomicElement<v8::internal::Smi*>*, v8::base::AtomicElement<v8::internal::Smi*>*, v8::internal::EnumIndexComparator<v8::internal::NameDictionary>&)
