



Statistical profiling result from isolate-0x104801800-v8.log, (884 ticks, 71 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.1%    0.1%  Function: ~_tickCallback internal/process/next_tick.js:151:25
      1    0.1%    0.1%  Function: ~Promise /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/kafkaPoc/consumers.js:19:22
      1    0.1%    0.1%  Function: ~PerformanceObserver /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/kafkaPoc/consumers.js:85:60
      1    0.1%    0.1%  Function: ~NativeModule.exists bootstrap_node.js:550:33
      1    0.1%    0.1%  Function: ~NativeModule.compile bootstrap_node.js:584:44
      1    0.1%    0.1%  Function: ~Module._load module.js:442:24
      1    0.1%    0.1%  Function: ~Module._compile module.js:600:37
      1    0.1%    0.1%  Function: ~Module module.js:69:16
      1    0.1%    0.1%  Function: ~Buffer.write buffer.js:855:34
      1    0.1%    0.1%  Function: ~<anonymous> /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/colors/lib/colors.js:1:11
      1    0.1%    0.1%  Builtin: TypedArrayConstructByArrayBuffer
      1    0.1%    0.1%  Builtin: ToString
      1    0.1%    0.1%  Builtin: ToObject
      1    0.1%    0.1%  Builtin: StringPrototypeCharCodeAt
      1    0.1%    0.1%  Builtin: StringConstructor
      1    0.1%    0.1%  Builtin: ObjectKeys
      1    0.1%    0.1%  Builtin: MathFloor
      1    0.1%    0.1%  Builtin: LoadICProtoArray
      1    0.1%    0.1%  Builtin: KeyedLoadIC_Megamorphic
      1    0.1%    0.1%  Builtin: JSConstructStubGenericUnrestrictedReturn
      1    0.1%    0.1%  Builtin: InterpreterPushArgsThenCallFunction
      1    0.1%    0.1%  Builtin: GreaterThan
      1    0.1%    0.1%  Builtin: FastNewSloppyArguments
      1    0.1%    0.1%  Builtin: FastArrayPush
      1    0.1%    0.1%  Builtin: CallWithArrayLike
      1    0.1%    0.1%  Builtin: CallFunction_ReceiverIsNullOrUndefined

 [C++]:
   ticks  total  nonlib   name
    306   34.6%   35.1%  T ___guarded_open_dprotected_np
     49    5.5%    5.6%  t node::(anonymous namespace)::ContextifyScript::New(v8::FunctionCallbackInfo<v8::Value> const&)
     33    3.7%    3.8%  t node::Read(v8::FunctionCallbackInfo<v8::Value> const&)
     24    2.7%    2.7%  T _kpersona_get
     23    2.6%    2.6%  T node::performance::TimerFunctionCall(v8::FunctionCallbackInfo<v8::Value> const&)
     15    1.7%    1.7%  T _mach_vm_purgable_control
     13    1.5%    1.5%  t node::WriteBuffer(v8::FunctionCallbackInfo<v8::Value> const&)
     10    1.1%    1.1%  t node::DLOpen(v8::FunctionCallbackInfo<v8::Value> const&)
      7    0.8%    0.8%  t ___vfprintf
      6    0.7%    0.7%  t node::Binding(v8::FunctionCallbackInfo<v8::Value> const&)
      5    0.6%    0.6%  t v8::internal::Scavenger::ScavengeObject(v8::internal::HeapObject**, v8::internal::HeapObject*)
      5    0.6%    0.6%  t v8::internal::Heap::AllocateRaw(int, v8::internal::AllocationSpace, v8::internal::AllocationAlignment)
      5    0.6%    0.6%  t node::InternalModuleReadFile(v8::FunctionCallbackInfo<v8::Value> const&)
      5    0.6%    0.6%  t ___find_warguments
      4    0.5%    0.5%  t node::InternalModuleStat(v8::FunctionCallbackInfo<v8::Value> const&)
      3    0.3%    0.3%  t v8::internal::ConsString* v8::internal::String::VisitFlat<v8::internal::IteratingStringHasher>(v8::internal::IteratingStringHasher*, v8::internal::String*, int)
      3    0.3%    0.3%  t node::(anonymous namespace)::ContextifyScript::RunInThisContext(v8::FunctionCallbackInfo<v8::Value> const&)
      3    0.3%    0.3%  t __os_unfair_lock_unlock_slow
      3    0.3%    0.3%  T v8::internal::Scanner::ScanIdentifierOrKeyword()
      3    0.3%    0.3%  T v8::internal::Heap::InitializeJSObjectFromMap(v8::internal::JSObject*, v8::internal::Object*, v8::internal::Map*)
      3    0.3%    0.3%  T node::TTYWrap::New(v8::FunctionCallbackInfo<v8::Value> const&)
      3    0.3%    0.3%  T _os_unfair_lock_trylock
      3    0.3%    0.3%  T __kernelrpc_vm_remap
      2    0.2%    0.2%  t void node::Buffer::(anonymous namespace)::StringWrite<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.2%    0.2%  t v8::internal::JsonStringifier::Result v8::internal::JsonStringifier::Serialize_<true>(v8::internal::Handle<v8::internal::Object>, bool, v8::internal::Handle<v8::internal::Object>)
      2    0.2%    0.2%  t node::cares_wrap::(anonymous namespace)::ChannelWrap::New(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.2%    0.2%  t node::LStat(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.2%    0.2%  t node::Buffer::(anonymous namespace)::ByteLengthUtf8(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.2%    0.2%  t int v8::internal::BinarySearch<(v8::internal::SearchMode)0, v8::internal::TransitionArray>(v8::internal::TransitionArray*, v8::internal::Name*, int, int*)
