Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,101,19,4,244,24.14,0.000%,6.23919,0.79,8.16,130.0
TOTAL,101,19,4,244,24.14,0.000%,6.23919,0.79,8.16,130.0
