v8-version,6,1,534,50,0
code-creation,Stub,3,3836,0x250637415f00,2292,"RecordWriteStub"
code-creation,Handler,4,3842,0x250637416800,256,"An IC handler from the snapshot"
code-creation,Stub,3,3847,0x250637416900,2291,"RecordWriteStub"
code-creation,Stub,3,3853,0x250637417200,980,"RecordWriteStub"
code-creation,Stub,3,3859,0x2506374175e0,2238,"RecordWriteStub"
code-creation,Stub,3,3864,0x250637417ea0,2266,"RecordWriteStub"
code-creation,Stub,3,3870,0x250637418780,189,"DoubleToIStub"
code-creation,Stub,3,3875,0x250637418840,2270,"RecordWriteStub"
code-creation,Handler,4,3881,0x250637419120,308,"An IC handler from the snapshot"
code-creation,Stub,3,3886,0x250637419260,2280,"RecordWriteStub"
code-creation,Stub,3,3892,0x250637419b60,2265,"RecordWriteStub"
code-creation,Stub,3,3897,0x25063741a440,2229,"RecordWriteStub"
code-creation,Stub,3,3903,0x25063741ad00,1412,"RecordWriteStub"
code-creation,Stub,3,3908,0x25063741b2a0,2314,"RecordWriteStub"
code-creation,Stub,3,3914,0x25063741bbc0,978,"RecordWriteStub"
code-creation,Stub,3,3919,0x25063741bfa0,2272,"RecordWriteStub"
code-creation,Stub,3,3925,0x25063741c880,2266,"RecordWriteStub"
code-creation,Stub,3,3930,0x25063741d160,2296,"RecordWriteStub"
code-creation,Stub,3,3936,0x25063741da60,978,"RecordWriteStub"
code-creation,Stub,3,3941,0x25063741de40,2250,"RecordWriteStub"
code-creation,Stub,3,3947,0x25063741e720,463,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,3952,0x25063741e900,183,"DoubleToIStub"
code-creation,Stub,3,3958,0x25063741e9c0,2300,"RecordWriteStub"
code-creation,Stub,3,3963,0x25063741f2c0,2283,"RecordWriteStub"
code-creation,Stub,3,3968,0x25063741fbc0,2254,"RecordWriteStub"
code-creation,Stub,3,3974,0x2506374204a0,2242,"RecordWriteStub"
code-creation,Stub,3,3980,0x250637420d80,980,"RecordWriteStub"
code-creation,Handler,4,3987,0x250637421160,780,"An IC handler from the snapshot"
code-creation,Stub,3,3992,0x250637421480,2265,"RecordWriteStub"
code-creation,Stub,3,3998,0x250637421d60,483,"CreateAllocationSiteStub"
code-creation,Stub,3,4003,0x250637421f60,2292,"RecordWriteStub"
code-creation,Stub,3,4009,0x250637422860,2269,"RecordWriteStub"
code-creation,Stub,3,4014,0x250637423140,974,"RecordWriteStub"
code-creation,Stub,3,4020,0x250637423520,2280,"RecordWriteStub"
code-creation,Stub,3,4025,0x250637423e20,2275,"RecordWriteStub"
code-creation,Stub,3,4031,0x250637424720,2296,"RecordWriteStub"
code-creation,Stub,3,4036,0x250637425020,2254,"RecordWriteStub"
code-creation,Stub,3,4042,0x250637425900,2254,"RecordWriteStub"
code-creation,Stub,3,4047,0x2506374261e0,591,"StringAddStub"
code-creation,Stub,3,4053,0x250637426440,1872,"StringAddStub"
code-creation,Builtin,5,4059,0x250637426ba0,298,"NonPrimitiveToPrimitive_Default"
code-creation,Stub,3,4064,0x250637426ce0,1869,"GetPropertyStub"
code-creation,Builtin,5,4070,0x250637427440,233,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,4076,0x250637427540,364,"OrdinaryToPrimitive_Number"
code-creation,Handler,4,4081,0x2506374276c0,308,"An IC handler from the snapshot"
code-creation,Stub,3,4087,0x250637427800,2238,"RecordWriteStub"
code-creation,Stub,3,4092,0x2506374280c0,2300,"RecordWriteStub"
code-creation,Stub,3,4098,0x2506374289c0,2245,"RecordWriteStub"
code-creation,Stub,3,4115,0x2506374292a0,2291,"RecordWriteStub"
code-creation,Stub,3,4121,0x250637429ba0,2270,"RecordWriteStub"
code-creation,Stub,3,4126,0x25063742a480,2254,"RecordWriteStub"
code-creation,Stub,3,4132,0x25063742ad60,2285,"RecordWriteStub"
code-creation,Handler,4,4137,0x25063742b660,308,"An IC handler from the snapshot"
code-creation,Handler,4,4143,0x25063742b7a0,744,"An IC handler from the snapshot"
code-creation,Stub,3,4148,0x25063742baa0,2296,"RecordWriteStub"
code-creation,Stub,3,4154,0x25063742c3a0,2238,"RecordWriteStub"
code-creation,Stub,3,4159,0x25063742cc60,2254,"RecordWriteStub"
code-creation,Stub,3,4165,0x25063742d540,1391,"RecordWriteStub"
code-creation,Stub,3,4170,0x25063742dac0,2242,"RecordWriteStub"
code-creation,Stub,3,4176,0x25063742e3a0,2291,"RecordWriteStub"
code-creation,Stub,3,4181,0x25063742eca0,183,"DoubleToIStub"
code-creation,Stub,3,4187,0x25063742ed60,2266,"RecordWriteStub"
code-creation,Stub,3,4192,0x25063742f640,2308,"RecordWriteStub"
code-creation,Handler,4,4198,0x25063742ff60,780,"An IC handler from the snapshot"
code-creation,Handler,4,4203,0x250637430280,256,"An IC handler from the snapshot"
code-creation,Stub,3,4209,0x250637430380,2238,"RecordWriteStub"
code-creation,Stub,3,4214,0x250637430c40,2266,"RecordWriteStub"
code-creation,Handler,4,4220,0x250637431520,296,"An IC handler from the snapshot"
code-creation,Stub,3,4225,0x250637431660,1412,"RecordWriteStub"
code-creation,Stub,3,4231,0x250637431c00,2269,"RecordWriteStub"
code-creation,Stub,3,4236,0x2506374324e0,2250,"RecordWriteStub"
code-creation,Stub,3,4242,0x250637432dc0,3405,"SubStringStub"
code-creation,Stub,3,4247,0x250637433b20,183,"DoubleToIStub"
code-creation,Stub,3,4253,0x250637433be0,387,"CreateWeakCellStub"
code-creation,Handler,4,4258,0x250637433d80,688,"An IC handler from the snapshot"
code-creation,Stub,3,4264,0x250637434040,1416,"RecordWriteStub"
code-creation,Stub,3,4269,0x2506374345e0,2257,"RecordWriteStub"
code-creation,Stub,3,4275,0x250637434ec0,365,"CEntryStub"
code-creation,Stub,3,4280,0x250637435040,2238,"RecordWriteStub"
code-creation,Stub,3,4286,0x250637435900,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4291,0x250637435ae0,2272,"RecordWriteStub"
code-creation,Stub,3,4297,0x2506374363c0,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4302,0x250637436500,357,"MathPowStub"
code-creation,Handler,4,4308,0x250637436680,744,"An IC handler from the snapshot"
code-creation,Stub,3,4313,0x250637436980,427,"CallApiGetterStub"
code-creation,Stub,3,4319,0x250637436b40,295,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,4325,0x250637436c80,2276,"RecordWriteStub"
code-creation,Stub,3,4330,0x250637437580,2284,"RecordWriteStub"
code-creation,Stub,3,4336,0x250637437e80,2254,"RecordWriteStub"
code-creation,Stub,3,4341,0x250637438760,615,"StringAddStub"
code-creation,Stub,3,4347,0x2506374389e0,375,"NumberToStringStub"
code-creation,Stub,3,4352,0x250637438b60,980,"RecordWriteStub"
code-creation,Stub,3,4358,0x250637438f40,2263,"RecordWriteStub"
code-creation,Handler,4,4363,0x250637439820,296,"An IC handler from the snapshot"
code-creation,Stub,3,4369,0x250637439960,2307,"RecordWriteStub"
code-creation,Stub,3,4374,0x25063743a280,2254,"RecordWriteStub"
code-creation,Stub,3,4380,0x25063743ab60,185,"DoubleToIStub"
code-creation,Stub,3,4385,0x25063743ac20,2283,"RecordWriteStub"
code-creation,Stub,3,4391,0x25063743b520,978,"RecordWriteStub"
code-creation,Stub,3,4405,0x25063743b900,2257,"RecordWriteStub"
tick,0x7fff75765818,4419,0,0x0,4
code-creation,Stub,3,4440,0x25063743c1e0,2292,"RecordWriteStub"
code-creation,Stub,3,4448,0x25063743cae0,2241,"RecordWriteStub"
code-creation,Stub,3,4454,0x25063743d3c0,2279,"RecordWriteStub"
code-creation,Stub,3,4460,0x25063743dcc0,972,"RecordWriteStub"
code-creation,Stub,3,4465,0x25063743e0a0,2254,"RecordWriteStub"
code-creation,Stub,3,4471,0x25063743e980,431,"InternalArraySingleArgumentConstructorStub"
code-creation,Handler,4,4477,0x25063743eb40,688,"An IC handler from the snapshot"
code-creation,Stub,3,4483,0x25063743ee00,974,"RecordWriteStub"
code-creation,Stub,3,4503,0x25063743f1e0,2254,"RecordWriteStub"
code-creation,Stub,3,4509,0x25063743fac0,295,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,4515,0x25063743fc00,2242,"RecordWriteStub"
code-creation,Stub,3,4521,0x2506374404e0,2241,"RecordWriteStub"
code-creation,Stub,3,4526,0x250637440dc0,980,"RecordWriteStub"
code-creation,Stub,3,4532,0x2506374411a0,206,"InternalArrayConstructorStub"
code-creation,Stub,3,4538,0x250637441280,2266,"RecordWriteStub"
code-creation,Stub,3,4543,0x250637441b60,183,"DoubleToIStub"
code-creation,Stub,3,4549,0x250637441c20,2241,"RecordWriteStub"
code-creation,Stub,3,4554,0x250637442500,986,"RecordWriteStub"
code-creation,Stub,3,4560,0x2506374428e0,2242,"RecordWriteStub"
code-creation,Stub,3,4565,0x2506374431c0,2269,"RecordWriteStub"
code-creation,Stub,3,4571,0x250637443aa0,2270,"RecordWriteStub"
code-creation,Stub,3,4576,0x250637444380,2270,"RecordWriteStub"
code-creation,Stub,3,4582,0x250637444c60,2253,"RecordWriteStub"
code-creation,Stub,3,4588,0x250637445540,2311,"RecordWriteStub"
code-creation,Stub,3,4593,0x250637445e60,2326,"RecordWriteStub"
code-creation,Stub,3,4599,0x250637446780,365,"CEntryStub"
code-creation,Stub,3,4604,0x250637446900,2254,"RecordWriteStub"
code-creation,Stub,3,4610,0x2506374471e0,2275,"RecordWriteStub"
code-creation,Stub,3,4615,0x250637447ae0,2238,"RecordWriteStub"
code-creation,Stub,3,4621,0x2506374483a0,2308,"RecordWriteStub"
code-creation,Stub,3,4627,0x250637448cc0,2284,"RecordWriteStub"
code-creation,Stub,3,4632,0x2506374495c0,565,"CEntryStub"
code-creation,Stub,3,4638,0x250637449800,2300,"RecordWriteStub"
code-creation,Stub,3,4643,0x25063744a100,2253,"RecordWriteStub"
code-creation,Stub,3,4649,0x25063744a9e0,2266,"RecordWriteStub"
code-creation,Builtin,5,4654,0x25063744b2c0,134,"StrictPoisonPillThrower"
code-creation,Builtin,5,4660,0x25063744b360,124,"ReturnReceiver"
code-creation,Builtin,5,4666,0x25063744b3e0,530,"GeneratorPrototypeNext"
code-creation,Builtin,5,4675,0x25063744b600,338,"ResumeGeneratorTrampoline"
code-creation,Builtin,5,4681,0x25063744b760,335,"CreateIterResultObject"
code-creation,Builtin,5,4686,0x25063744b8c0,534,"GeneratorPrototypeReturn"
code-creation,Builtin,5,4692,0x25063744bae0,546,"GeneratorPrototypeThrow"
code-creation,Builtin,5,4697,0x25063744bd20,1656,"AsyncFromSyncIteratorPrototypeNext"
code-creation,Builtin,5,4705,0x25063744c3a0,200,"ToBoolean"
code-creation,Builtin,5,4711,0x25063744c480,4284,"ResolveNativePromise"
code-creation,Builtin,5,4716,0x25063744d540,448,"StringEqual"
code-creation,Builtin,5,4722,0x25063744d700,5296,"PerformNativePromiseThen"
code-creation,Builtin,5,4727,0x25063744ebc0,828,"RejectNativePromise"
code-creation,Builtin,5,4733,0x25063744ef00,2192,"AsyncFromSyncIteratorPrototypeReturn"
code-creation,Builtin,5,4739,0x25063744f7a0,1680,"AsyncFromSyncIteratorPrototypeThrow"
code-creation,Builtin,5,4744,0x25063744fe40,1024,"AsyncGeneratorPrototypeNext"
code-creation,Builtin,5,4750,0x250637450240,491,"AsyncGeneratorResumeNext"
code-creation,Builtin,5,4755,0x250637450440,980,"AsyncGeneratorResolve"
code-creation,Builtin,5,4761,0x250637450820,207,"AsyncGeneratorReject"
code-creation,Builtin,5,4766,0x250637450900,1024,"AsyncGeneratorPrototypeReturn"
code-creation,Builtin,5,4772,0x250637450d00,1024,"AsyncGeneratorPrototypeThrow"
code-creation,Builtin,5,4777,0x250637451100,134,"Illegal"
code-creation,Builtin,5,4783,0x2506374511a0,134,"ObjectAssign"
code-creation,Builtin,5,4789,0x250637451240,134,"ObjectGetOwnPropertyDescriptor"
code-creation,Builtin,5,4794,0x2506374512e0,134,"ObjectGetOwnPropertyDescriptors"
