Statistical profiling result from isolate-0x104800000-v8.log, (418 ticks, 38 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      3    0.7%          /usr/lib/system/libsystem_pthread.dylib
      1    0.2%          /usr/lib/system/libsystem_platform.dylib
      1    0.2%          /usr/lib/system/libsystem_malloc.dylib

 [JavaScript]:
   ticks  total  nonlib   name
      2    0.5%    0.5%  Function: ~writeOrBuffer _stream_writable.js:339:23
      2    0.5%    0.5%  Function: ~target.(anonymous function) /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/winston/lib/winston/common.js:51:30
      2    0.5%    0.5%  Function: ~resolve path.js:1166:28
      2    0.5%    0.5%  Function: ~match native string.js:12:6
      2    0.5%    0.5%  Function: ~exports.log /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/winston/lib/winston/common.js:140:24
      2    0.5%    0.5%  Function: ~derez /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/cycle/cycle.js:46:27
      2    0.5%    0.5%  Function: ~_tickCallback internal/process/next_tick.js:151:25
      2    0.5%    0.5%  Function: ~Logger.log /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/winston/lib/winston/logger.js:109:33
      2    0.5%    0.5%  Builtin: InterpreterEntryTrampoline
      2    0.5%    0.5%  Builtin: CallFunction_ReceiverIsAny
      1    0.2%    0.2%  Stub: StringAddStub
      1    0.2%    0.2%  StoreIC: A store IC from the snapshot
      1    0.2%    0.2%  LazyCompile: *normalizeStringPosix path.js:106:30
      1    0.2%    0.2%  KeyedStoreIC: A keyed store IC from the snapshot
      1    0.2%    0.2%  KeyedLoadIC: A keyed load IC from the snapshot
      1    0.2%    0.2%  Function: ~v4 /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/kafkaPoc/node_modules/uuid/v4.js:4:12
      1    0.2%    0.2%  Function: ~transportLog /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/winston/lib/winston/logger.js:232:24
      1    0.2%    0.2%  Function: ~sendMessage /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/src/kafka/producer.js:281:21
      1    0.2%    0.2%  Function: ~runProducer /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/kafkaPoc/producers.js:9:19
      1    0.2%    0.2%  Function: ~render /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/kafkaPoc/node_modules/mustache/mustache.js:596:37
      1    0.2%    0.2%  Function: ~onwriteDrain _stream_writable.js:461:22
      1    0.2%    0.2%  Function: ~nextTick internal/process/next_tick.js:245:20
      1    0.2%    0.2%  Function: ~initTriggerId async_hooks.js:346:23
      1    0.2%    0.2%  Function: ~getStdout internal/process/stdio.js:12:21
      1    0.2%    0.2%  Function: ~emit events.js:156:44
      1    0.2%    0.2%  Function: ~doWrite _stream_writable.js:379:17
      1    0.2%    0.2%  Function: ~clone /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/winston/lib/winston/common.js:100:15
      1    0.2%    0.2%  Function: ~builder /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/colors/lib/colors.js:63:33
      1    0.2%    0.2%  Function: ~Writable.write _stream_writable.js:264:36
      1    0.2%    0.2%  Function: ~DoJoin native array.js:95:16
      1    0.2%    0.2%  Function: ~Console.log /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/winston/lib/winston/transports/console.js:91:34
      1    0.2%    0.2%  Function: ~Client._errorWrap /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/node-rdkafka/lib/client.js:462:39
      1    0.2%    0.2%  Function: ~Buffer.write buffer.js:855:34
      1    0.2%    0.2%  Function: ~<anonymous> /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/winston/lib/winston/logger.js:152:45
      1    0.2%    0.2%  Builtin: StoreIC_Uninitialized
      1    0.2%    0.2%  Builtin: RegExpReplace
      1    0.2%    0.2%  Builtin: RegExpPrototypeMatch
      1    0.2%    0.2%  Builtin: ObjectCreate
      1    0.2%    0.2%  Builtin: HandleApiCall
      1    0.2%    0.2%  Builtin: FastNewClosure
      1    0.2%    0.2%  Builtin: Call_ReceiverIsAny
      1    0.2%    0.2%  Builtin: ArrayFilter

 [C++]:
   ticks  total  nonlib   name
    154   36.8%   37.3%  T ___guarded_open_dprotected_np
     50   12.0%   12.1%  t node::(anonymous namespace)::ContextifyScript::New(v8::FunctionCallbackInfo<v8::Value> const&)
      7    1.7%    1.7%  t node::WriteBuffer(v8::FunctionCallbackInfo<v8::Value> const&)
      5    1.2%    1.2%  t node::Binding(v8::FunctionCallbackInfo<v8::Value> const&)
      5    1.2%    1.2%  T _kpersona_get
      3    0.7%    0.7%  t _szone_malloc_should_clear
      3    0.7%    0.7%  T v8::internal::FunctionCallbackArguments::Call(void (*)(v8::FunctionCallbackInfo<v8::Value> const&))
      3    0.7%    0.7%  T node::TTYWrap::New(v8::FunctionCallbackInfo<v8::Value> const&)
      3    0.7%    0.7%  T _mach_vm_purgable_control
      2    0.5%    0.5%  t v8::internal::MaybeHandle<v8::internal::Object> v8::internal::(anonymous namespace)::HandleApiCallHelper<false>(v8::internal::Isolate*, v8::internal::Handle<v8::internal::HeapObject>, v8::internal::Handle<v8::internal::HeapObject>, v8::internal::Handle<v8::internal::FunctionTemplateInfo>, v8::internal::Handle<v8::internal::Object>, v8::internal::BuiltinArguments)
      2    0.5%    0.5%  t v8::internal::Heap::AllocateRaw(int, v8::internal::AllocationSpace, v8::internal::AllocationAlignment)
      2    0.5%    0.5%  t node::Read(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.5%    0.5%  t node::InternalModuleStat(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.5%    0.5%  t node::InternalModuleReadFile(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.5%    0.5%  t node::(anonymous namespace)::RunMicrotasks(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.5%    0.5%  t _szone_pressure_relief
      2    0.5%    0.5%  t __os_unfair_lock_lock_slow
      2    0.5%    0.5%  t ___vfprintf
      2    0.5%    0.5%  t __GB2312_mbrtowc
      2    0.5%    0.5%  T v8::internal::Scanner::ScanIdentifierOrKeyword()
      2    0.5%    0.5%  T _mach_msg_server_once
      2    0.5%    0.5%  T __kernelrpc_vm_remap
      1    0.2%    0.2%  t void v8::internal::String::WriteToFlat<unsigned char>(v8::internal::String*, unsigned char*, int, int)
      1    0.2%    0.2%  t v8::internal::StoreBuffer::InsertIntoStoreBuffer(unsigned char*)
      1    0.2%    0.2%  t v8::internal::Scavenger::ScavengeObject(v8::internal::HeapObject**, v8::internal::HeapObject*)
      1    0.2%    0.2%  t v8::internal::PropertyCallbackArguments::Call(void (*)(v8::Local<v8::Name>, v8::PropertyCallbackInfo<v8::Value> const&), v8::internal::Handle<v8::internal::Name>)
      1    0.2%    0.2%  t v8::internal::ParserBase<v8::internal::PreParser>::ParseAssignmentExpression(bool, bool*)
      1    0.2%    0.2%  t v8::internal::ParserBase<v8::internal::Parser>::ExpectSemicolon(bool*)
      1    0.2%    0.2%  t v8::internal::LookupIterator::State v8::internal::LookupIterator::LookupInRegularHolder<false>(v8::internal::Map*, v8::internal::JSReceiver*)
      1    0.2%    0.2%  t v8::internal::LookupIterator::LookupIterator(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Name>, v8::internal::LookupIterator::Configuration)
      1    0.2%    0.2%  t v8::internal::LookupIterator::LookupIterator(v8::internal::Isolate*, v8::internal::Handle<v8::internal::Object>, v8::internal::Handle<v8::internal::Name>, v8::internal::Handle<v8::internal::JSReceiver>, v8::internal::LookupIterator::Configuration)
      1    0.2%    0.2%  t v8::internal::KeywordOrIdentifierToken(unsigned char const*, int)
      1    0.2%    0.2%  t v8::internal::JsonStringifier::Result v8::internal::JsonStringifier::Serialize_<true>(v8::internal::Handle<v8::internal::Object>, bool, v8::internal::Handle<v8::internal::Object>)
      1    0.2%    0.2%  t v8::internal::JsonStringifier::Result v8::internal::JsonStringifier::Serialize_<false>(v8::internal::Handle<v8::internal::Object>, bool, v8::internal::Handle<v8::internal::Object>)
      1    0.2%    0.2%  t v8::internal::JSObject::WriteToField(int, v8::internal::PropertyDetails, v8::internal::Object*)
      1    0.2%    0.2%  t v8::internal::JSObject::RawFastPropertyAtPut(v8::internal::FieldIndex, v8::internal::Object*)
      1    0.2%    0.2%  t v8::internal::Handle<v8::internal::String> v8::internal::JsonParser<true>::ScanJsonString<false>()
      1    0.2%    0.2%  t v8::internal::Handle<v8::internal::String> v8::internal::JsonParser<false>::ScanJsonString<true>()
      1    0.2%    0.2%  t v8::internal::Builtin_Impl_ArraySlice(v8::internal::BuiltinArguments, v8::internal::Isolate*)
      1    0.2%    0.2%  t v8::Maybe<bool> v8::internal::CompiledReplacement::ParseReplacementPattern<unsigned char const>(v8::internal::ZoneList<v8::internal::CompiledReplacement::ReplacementPart>*, v8::internal::Vector<unsigned char const>, v8::internal::FixedArray*, int, int, v8::internal::Zone*)
      1    0.2%    0.2%  t node::cares_wrap::(anonymous namespace)::ChannelWrap::New(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.2%    0.2%  t node::LStat(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.2%    0.2%  t node::DLOpen(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.2%    0.2%  t node::Buffer::(anonymous namespace)::ByteLengthUtf8(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.2%    0.2%  t int v8::internal::BinarySearch<(v8::internal::SearchMode)1, v8::internal::DescriptorArray>(v8::internal::DescriptorArray*, v8::internal::Name*, int, int*)
      1    0.2%    0.2%  t _update_cache_for_file_streams
      1    0.2%    0.2%  t _mvm_allocate_pages
      1    0.2%    0.2%  t _insert_node
      1    0.2%    0.2%  t __os_unfair_lock_unlock_slow
      1    0.2%    0.2%  t __os_lock_unfair_trylock
      1    0.2%    0.2%  t __malloc_initialize
      1    0.2%    0.2%  t ___vfwscanf
      1    0.2%    0.2%  t ___find_warguments
      1    0.2%    0.2%  T v8::internal::interpreter::BytecodeRegisterOptimizer::RegisterListFreeEvent(v8::internal::interpreter::RegisterList)
      1    0.2%    0.2%  T v8::internal::interpreter::BytecodeRegisterOptimizer::RegisterInfo::GetEquivalentToMaterialize()
      1    0.2%    0.2%  T v8::internal::interpreter::BytecodeGenerator::VisitIfStatement(v8::internal::IfStatement*)
      1    0.2%    0.2%  T v8::internal::interpreter::BytecodeGenerator::GenerateBytecode(unsigned long)
      1    0.2%    0.2%  T v8::internal::interpreter::BytecodeGenerator::BuildReturn(int)
      1    0.2%    0.2%  T v8::internal::compiler::GraphReducer::ReduceTop()
      1    0.2%    0.2%  T v8::internal::Zone::New(unsigned long)
      1    0.2%    0.2%  T v8::internal::Statement::IsJump() const
      1    0.2%    0.2%  T v8::internal::StackFrameIterator::Reset(v8::internal::ThreadLocalTop*)
      1    0.2%    0.2%  T v8::internal::Scavenger::Process()
      1    0.2%    0.2%  T v8::internal::Scanner::Scan()
      1    0.2%    0.2%  T v8::internal::NativeRegExpMacroAssembler::Match(v8::internal::Handle<v8::internal::Code>, v8::internal::Handle<v8::internal::String>, int*, int, int, v8::internal::Isolate*)
      1    0.2%    0.2%  T v8::internal::Map::SetPrototype(v8::internal::Handle<v8::internal::Map>, v8::internal::Handle<v8::internal::Object>)
      1    0.2%    0.2%  T v8::internal::JsonStringifier::SerializeString(v8::internal::Handle<v8::internal::String>)
      1    0.2%    0.2%  T v8::internal::JSObject::DefineOwnPropertyIgnoreAttributes(v8::internal::LookupIterator*, v8::internal::Handle<v8::internal::Object>, v8::internal::PropertyAttributes, v8::internal::Object::ShouldThrow, v8::internal::JSObject::AccessorInfoHandling)
      1    0.2%    0.2%  T v8::internal::Heap::InitializeJSObjectFromMap(v8::internal::JSObject*, v8::internal::Object*, v8::internal::Map*)
      1    0.2%    0.2%  T v8::internal::Heap::AllocateCell(v8::internal::Object*)
      1    0.2%    0.2%  T v8::internal::HandleScopeImplementer::IterateThis(v8::internal::RootVisitor*)
      1    0.2%    0.2%  T v8::internal::Factory::NewAllocationSite()
      1    0.2%    0.2%  T v8::internal::Factory::GetNumberStringCache(v8::internal::Handle<v8::internal::Object>)
      1    0.2%    0.2%  T v8::internal::ElementsAccessor::Concat(v8::internal::Isolate*, v8::internal::Arguments*, unsigned int, unsigned int)
