Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,100,47,7,145,31.52,24.000%,41.13534,6.52,53.79,162.4
TOTAL,100,47,7,145,31.52,24.000%,41.13534,6.52,53.79,162.4
