Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,100,31,7,83,14.63,0.000%,25.18257,3.20,32.93,130.0
TOTAL,100,31,7,83,14.63,0.000%,25.18257,3.20,32.93,130.0
