Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,100,30,8,85,16.37,0.000%,20.28398,2.58,26.52,130.0
TOTAL,100,30,8,85,16.37,0.000%,20.28398,2.58,26.52,130.0
