v8-version,6,1,534,50,0
code-creation,Stub,3,3900,0x267ee7294420,2296,"RecordWriteStub"
code-creation,Stub,3,3906,0x267ee7294d20,2292,"RecordWriteStub"
code-creation,Stub,3,3911,0x267ee7295620,2254,"RecordWriteStub"
code-creation,Stub,3,3916,0x267ee7295f00,2292,"RecordWriteStub"
code-creation,Handler,4,3922,0x267ee7296800,256,"An IC handler from the snapshot"
code-creation,Stub,3,3927,0x267ee7296900,2291,"RecordWriteStub"
code-creation,Stub,3,3933,0x267ee7297200,980,"RecordWriteStub"
code-creation,Stub,3,3938,0x267ee72975e0,2238,"RecordWriteStub"
code-creation,Stub,3,3944,0x267ee7297ea0,2266,"RecordWriteStub"
code-creation,Stub,3,3949,0x267ee7298780,189,"DoubleToIStub"
code-creation,Stub,3,3955,0x267ee7298840,2270,"RecordWriteStub"
code-creation,Handler,4,3987,0x267ee7299120,308,"An IC handler from the snapshot"
code-creation,Stub,3,3992,0x267ee7299260,2280,"RecordWriteStub"
code-creation,Stub,3,3998,0x267ee7299b60,2265,"RecordWriteStub"
code-creation,Stub,3,4004,0x267ee729a440,2229,"RecordWriteStub"
code-creation,Stub,3,4009,0x267ee729ad00,1412,"RecordWriteStub"
code-creation,Stub,3,4015,0x267ee729b2a0,2314,"RecordWriteStub"
code-creation,Stub,3,4021,0x267ee729bbc0,978,"RecordWriteStub"
code-creation,Stub,3,4039,0x267ee729bfa0,2272,"RecordWriteStub"
code-creation,Stub,3,4045,0x267ee729c880,2266,"RecordWriteStub"
code-creation,Stub,3,4071,0x267ee729d160,2296,"RecordWriteStub"
code-creation,Stub,3,4077,0x267ee729da60,978,"RecordWriteStub"
code-creation,Stub,3,4083,0x267ee729de40,2250,"RecordWriteStub"
code-creation,Stub,3,4101,0x267ee729e720,463,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,4107,0x267ee729e900,183,"DoubleToIStub"
code-creation,Stub,3,4112,0x267ee729e9c0,2300,"RecordWriteStub"
code-creation,Stub,3,4118,0x267ee729f2c0,2283,"RecordWriteStub"
code-creation,Stub,3,4142,0x267ee729fbc0,2254,"RecordWriteStub"
code-creation,Stub,3,4148,0x267ee72a04a0,2242,"RecordWriteStub"
code-creation,Stub,3,4180,0x267ee72a0d80,980,"RecordWriteStub"
tick,0x7fff758292c2,4215,0,0x0,4
code-creation,Handler,4,4234,0x267ee72a1160,780,"An IC handler from the snapshot"
code-creation,Stub,3,4258,0x267ee72a1480,2265,"RecordWriteStub"
code-creation,Stub,3,4266,0x267ee72a1d60,483,"CreateAllocationSiteStub"
code-creation,Stub,3,4272,0x267ee72a1f60,2292,"RecordWriteStub"
code-creation,Stub,3,4278,0x267ee72a2860,2269,"RecordWriteStub"
code-creation,Stub,3,4284,0x267ee72a3140,974,"RecordWriteStub"
code-creation,Stub,3,4289,0x267ee72a3520,2280,"RecordWriteStub"
