Statistical profiling result from isolate-0x105001800-v8.log, (1179 ticks, 104 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.1%    0.1%  Function: ~isObject /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/bluebird/js/release/util.js:53:18
      1    0.1%    0.1%  Function: ~initTriggerId async_hooks.js:346:23
      1    0.1%    0.1%  Function: ~getOptions fs.js:64:20
      1    0.1%    0.1%  Function: ~getDomain /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/bluebird/js/release/promise.js:18:25
      1    0.1%    0.1%  Function: ~finish /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/winston/lib/winston/logger.js:186:18
      1    0.1%    0.1%  Function: ~done /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/winston/node_modules/async/lib/async.js:159:22
      1    0.1%    0.1%  Function: ~consumeFunction1 /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/kafkaPoc/consumers.js:18:26
      1    0.1%    0.1%  Function: ~config.colorize /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/winston/lib/winston/config.js:21:28
      1    0.1%    0.1%  Function: ~clone /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/winston/lib/winston/common.js:100:15
      1    0.1%    0.1%  Function: ~checkForgottenReturns /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/bluebird/js/release/debuggability.js:420:31
      1    0.1%    0.1%  Function: ~build /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/colors/lib/colors.js:62:15
      1    0.1%    0.1%  Function: ~baseIndexOf /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/async/dist/async.js:1406:21
      1    0.1%    0.1%  Function: ~alignPool buffer.js:107:19
      1    0.1%    0.1%  Function: ~_insert /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/async/dist/async.js:2206:21
      1    0.1%    0.1%  Function: ~SyncWriteStream._write internal/fs.js:73:44
      1    0.1%    0.1%  Function: ~Promise._then /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/bluebird/js/release/promise.js:219:36
      1    0.1%    0.1%  Function: ~PerformanceObserver /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/kafkaPoc/consumers.js:85:60
      1    0.1%    0.1%  Function: ~NativeModule.require bootstrap_node.js:516:34
      1    0.1%    0.1%  Function: ~NativeModule.nonInternalExists bootstrap_node.js:561:46
      1    0.1%    0.1%  Function: ~Module._nodeModulePaths module.js:298:37
      1    0.1%    0.1%  Function: ~Module._findPath module.js:176:28
      1    0.1%    0.1%  Function: ~DoJoin native array.js:95:16
      1    0.1%    0.1%  Function: ~Buffer.write buffer.js:855:34
      1    0.1%    0.1%  Function: ~<anonymous> /Users/mdebarros/Documents/ModusDocs/Projects/MojaLoop/git/fork/central-services-shared/node_modules/winston/lib/winston/logger.js:152:45
      1    0.1%    0.1%  Builtin: StoreICStrict_Uninitialized
      1    0.1%    0.1%  Builtin: ObjectPrototypeSetProto
      1    0.1%    0.1%  Builtin: LoadIC_Noninlined
      1    0.1%    0.1%  Builtin: InterpreterPushArgsThenConstructFunction
      1    0.1%    0.1%  Builtin: InterpreterPushArgsThenCallFunction
      1    0.1%    0.1%  Builtin: FunctionPrototypeHasInstance
      1    0.1%    0.1%  Builtin: CompileLazy
      1    0.1%    0.1%  Builtin: ArrayForEach

 [C++]:
   ticks  total  nonlib   name
    464   39.4%   40.1%  T ___guarded_open_dprotected_np
     48    4.1%    4.1%  t node::(anonymous namespace)::ContextifyScript::New(v8::FunctionCallbackInfo<v8::Value> const&)
     36    3.1%    3.1%  T node::performance::TimerFunctionCall(v8::FunctionCallbackInfo<v8::Value> const&)
     26    2.2%    2.2%  t node::Read(v8::FunctionCallbackInfo<v8::Value> const&)
     20    1.7%    1.7%  T _kpersona_get
     15    1.3%    1.3%  t node::WriteBuffer(v8::FunctionCallbackInfo<v8::Value> const&)
     10    0.8%    0.9%  t ___vfprintf
      7    0.6%    0.6%  t node::DLOpen(v8::FunctionCallbackInfo<v8::Value> const&)
      6    0.5%    0.5%  t int v8::internal::BinarySearch<(v8::internal::SearchMode)1, v8::internal::DescriptorArray>(v8::internal::DescriptorArray*, v8::internal::Name*, int, int*)
      6    0.5%    0.5%  T v8::internal::FunctionCallbackArguments::Call(void (*)(v8::FunctionCallbackInfo<v8::Value> const&))
      5    0.4%    0.4%  t void node::Buffer::(anonymous namespace)::StringWrite<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&)
      5    0.4%    0.4%  t __os_unfair_lock_unlock_slow
      5    0.4%    0.4%  T _mach_vm_purgable_control
      5    0.4%    0.4%  T __kernelrpc_vm_remap
      4    0.3%    0.3%  t node::InternalModuleReadFile(v8::FunctionCallbackInfo<v8::Value> const&)
