v8-version,6,1,534,50,0
code-creation,Stub,3,4654,0x2594e2194420,2296,"RecordWriteStub"
code-creation,Stub,3,4661,0x2594e2194d20,2292,"RecordWriteStub"
code-creation,Stub,3,4668,0x2594e2195620,2254,"RecordWriteStub"
code-creation,Stub,3,4675,0x2594e2195f00,2292,"RecordWriteStub"
code-creation,Handler,4,4682,0x2594e2196800,256,"An IC handler from the snapshot"
code-creation,Stub,3,4689,0x2594e2196900,2291,"RecordWriteStub"
code-creation,Stub,3,4695,0x2594e2197200,980,"RecordWriteStub"
code-creation,Stub,3,4702,0x2594e21975e0,2238,"RecordWriteStub"
code-creation,Stub,3,4709,0x2594e2197ea0,2266,"RecordWriteStub"
code-creation,Stub,3,4716,0x2594e2198780,189,"DoubleToIStub"
code-creation,Stub,3,4723,0x2594e2198840,2270,"RecordWriteStub"
code-creation,Handler,4,4729,0x2594e2199120,308,"An IC handler from the snapshot"
code-creation,Stub,3,4736,0x2594e2199260,2280,"RecordWriteStub"
code-creation,Stub,3,4743,0x2594e2199b60,2265,"RecordWriteStub"
code-creation,Stub,3,4750,0x2594e219a440,2229,"RecordWriteStub"
code-creation,Stub,3,4757,0x2594e219ad00,1412,"RecordWriteStub"
code-creation,Stub,3,4763,0x2594e219b2a0,2314,"RecordWriteStub"
code-creation,Stub,3,4770,0x2594e219bbc0,978,"RecordWriteStub"
code-creation,Stub,3,4777,0x2594e219bfa0,2272,"RecordWriteStub"
code-creation,Stub,3,4784,0x2594e219c880,2266,"RecordWriteStub"
code-creation,Stub,3,4791,0x2594e219d160,2296,"RecordWriteStub"
code-creation,Stub,3,4797,0x2594e219da60,978,"RecordWriteStub"
code-creation,Stub,3,4804,0x2594e219de40,2250,"RecordWriteStub"
code-creation,Stub,3,4811,0x2594e219e720,463,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,4818,0x2594e219e900,183,"DoubleToIStub"
code-creation,Stub,3,4825,0x2594e219e9c0,2300,"RecordWriteStub"
code-creation,Stub,3,4832,0x2594e219f2c0,2283,"RecordWriteStub"
code-creation,Stub,3,4838,0x2594e219fbc0,2254,"RecordWriteStub"
code-creation,Stub,3,4845,0x2594e21a04a0,2242,"RecordWriteStub"
code-creation,Stub,3,4852,0x2594e21a0d80,980,"RecordWriteStub"
code-creation,Handler,4,4859,0x2594e21a1160,780,"An IC handler from the snapshot"
code-creation,Stub,3,4866,0x2594e21a1480,2265,"RecordWriteStub"
code-creation,Stub,3,4873,0x2594e21a1d60,483,"CreateAllocationSiteStub"
code-creation,Stub,3,4880,0x2594e21a1f60,2292,"RecordWriteStub"
code-creation,Stub,3,4886,0x2594e21a2860,2269,"RecordWriteStub"
code-creation,Stub,3,4893,0x2594e21a3140,974,"RecordWriteStub"
code-creation,Stub,3,4900,0x2594e21a3520,2280,"RecordWriteStub"
code-creation,Stub,3,4907,0x2594e21a3e20,2275,"RecordWriteStub"
code-creation,Stub,3,4914,0x2594e21a4720,2296,"RecordWriteStub"
code-creation,Stub,3,4920,0x2594e21a5020,2254,"RecordWriteStub"
code-creation,Stub,3,4927,0x2594e21a5900,2254,"RecordWriteStub"
