v8-version,6,1,534,50,0
code-creation,Stub,3,4325,0x157115615f00,2292,"RecordWriteStub"
code-creation,Handler,4,4331,0x157115616800,256,"An IC handler from the snapshot"
code-creation,Stub,3,4337,0x157115616900,2291,"RecordWriteStub"
code-creation,Stub,3,4342,0x157115617200,980,"RecordWriteStub"
code-creation,Stub,3,4351,0x1571156175e0,2238,"RecordWriteStub"
code-creation,Stub,3,4359,0x157115617ea0,2266,"RecordWriteStub"
code-creation,Stub,3,4367,0x157115618780,189,"DoubleToIStub"
code-creation,Stub,3,4374,0x157115618840,2270,"RecordWriteStub"
code-creation,Handler,4,4391,0x157115619120,308,"An IC handler from the snapshot"
code-creation,Stub,3,4419,0x157115619260,2280,"RecordWriteStub"
code-creation,Stub,3,4428,0x157115619b60,2265,"RecordWriteStub"
code-creation,Stub,3,4434,0x15711561a440,2229,"RecordWriteStub"
code-creation,Stub,3,4439,0x15711561ad00,1412,"RecordWriteStub"
code-creation,Stub,3,4445,0x15711561b2a0,2314,"RecordWriteStub"
code-creation,Stub,3,4451,0x15711561bbc0,978,"RecordWriteStub"
code-creation,Stub,3,4456,0x15711561bfa0,2272,"RecordWriteStub"
code-creation,Stub,3,4462,0x15711561c880,2266,"RecordWriteStub"
code-creation,Stub,3,4467,0x15711561d160,2296,"RecordWriteStub"
code-creation,Stub,3,4473,0x15711561da60,978,"RecordWriteStub"
code-creation,Stub,3,4478,0x15711561de40,2250,"RecordWriteStub"
code-creation,Stub,3,4484,0x15711561e720,463,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,4489,0x15711561e900,183,"DoubleToIStub"
code-creation,Stub,3,4495,0x15711561e9c0,2300,"RecordWriteStub"
code-creation,Stub,3,4500,0x15711561f2c0,2283,"RecordWriteStub"
code-creation,Stub,3,4506,0x15711561fbc0,2254,"RecordWriteStub"
code-creation,Stub,3,4511,0x1571156204a0,2242,"RecordWriteStub"
code-creation,Stub,3,4517,0x157115620d80,980,"RecordWriteStub"
code-creation,Handler,4,4522,0x157115621160,780,"An IC handler from the snapshot"
code-creation,Stub,3,4528,0x157115621480,2265,"RecordWriteStub"
code-creation,Stub,3,4533,0x157115621d60,483,"CreateAllocationSiteStub"
code-creation,Stub,3,4539,0x157115621f60,2292,"RecordWriteStub"
code-creation,Stub,3,4544,0x157115622860,2269,"RecordWriteStub"
code-creation,Stub,3,4550,0x157115623140,974,"RecordWriteStub"
code-creation,Stub,3,4555,0x157115623520,2280,"RecordWriteStub"
code-creation,Stub,3,4561,0x157115623e20,2275,"RecordWriteStub"
code-creation,Stub,3,4567,0x157115624720,2296,"RecordWriteStub"
code-creation,Stub,3,4572,0x157115625020,2254,"RecordWriteStub"
code-creation,Stub,3,4578,0x157115625900,2254,"RecordWriteStub"
code-creation,Stub,3,4583,0x1571156261e0,591,"StringAddStub"
code-creation,Stub,3,4588,0x157115626440,1872,"StringAddStub"
code-creation,Builtin,5,4594,0x157115626ba0,298,"NonPrimitiveToPrimitive_Default"
code-creation,Stub,3,4600,0x157115626ce0,1869,"GetPropertyStub"
code-creation,Builtin,5,4605,0x157115627440,233,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,4611,0x157115627540,364,"OrdinaryToPrimitive_Number"
code-creation,Handler,4,4617,0x1571156276c0,308,"An IC handler from the snapshot"
code-creation,Stub,3,4622,0x157115627800,2238,"RecordWriteStub"
code-creation,Stub,3,4628,0x1571156280c0,2300,"RecordWriteStub"
code-creation,Stub,3,4633,0x1571156289c0,2245,"RecordWriteStub"
code-creation,Stub,3,4654,0x1571156292a0,2291,"RecordWriteStub"
code-creation,Stub,3,4660,0x157115629ba0,2270,"RecordWriteStub"
code-creation,Stub,3,4666,0x15711562a480,2254,"RecordWriteStub"
code-creation,Stub,3,4673,0x15711562ad60,2285,"RecordWriteStub"
