Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,200,6,3,79,6.37,0.000%,101.62602,12.90,132.89,130.0
TOTAL,200,6,3,79,6.37,0.000%,101.62602,12.90,132.89,130.0
