Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,100,10,3,103,13.70,0.000%,51.17707,6.50,66.92,130.0
TOTAL,100,10,3,103,13.70,0.000%,51.17707,6.50,66.92,130.0
