Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,100,6,3,45,5.09,0.000%,51.25577,6.51,67.02,130.0
TOTAL,100,6,3,45,5.09,0.000%,51.25577,6.51,67.02,130.0
