Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,100,9,3,84,9.53,0.000%,51.22951,6.50,66.99,130.0
TOTAL,100,9,3,84,9.53,0.000%,51.22951,6.50,66.99,130.0
