Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,100,6,3,67,7.75,0.000%,53.85030,6.84,70.42,130.0
TOTAL,100,6,3,67,7.75,0.000%,53.85030,6.84,70.42,130.0
