Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1000,355,5,1214,256.98,0.000%,173.52074,22.03,226.90,130.0
TOTAL,1000,355,5,1214,256.98,0.000%,173.52074,22.03,226.90,130.0
