Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1000,263,6,1164,182.91,0.200%,203.25203,25.86,265.78,130.3
TOTAL,1000,263,6,1164,182.91,0.200%,203.25203,25.86,265.78,130.3
