Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,100,9,3,77,8.66,0.000%,52.63158,6.68,68.82,130.0
TOTAL,100,9,3,77,8.66,0.000%,52.63158,6.68,68.82,130.0
