Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,100,8,3,59,7.63,0.000%,53.76344,6.83,70.30,130.0
TOTAL,100,8,3,59,7.63,0.000%,53.76344,6.83,70.30,130.0
