Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,100,6,3,68,7.66,0.000%,52.91005,6.72,69.19,130.0
TOTAL,100,6,3,68,7.66,0.000%,52.91005,6.72,69.19,130.0
