Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1000,242,5,1251,201.60,0.000%,200.04001,25.40,261.58,130.0
TOTAL,1000,242,5,1251,201.60,0.000%,200.04001,25.40,261.58,130.0
